Algoritmo,Cenario,TempoExecucao
Shell Sort,Cenário 3 - Vetor aleatório,2299
Bubble Sort,Cenário 3 - Vetor aleatório,379139
Merge Sort,Cenário 3 - Vetor aleatório,1756
Quick Sort,Cenário 3 - Vetor aleatório,1707
Shell Sort,Cenário 3 - Vetor aleatório,2276
Bubble Sort,Cenário 3 - Vetor aleatório,381078
Merge Sort,Cenário 3 - Vetor aleatório,1558
Quick Sort,Cenário 3 - Vetor aleatório,1312
Shell Sort,Cenário 3 - Vetor aleatório,2289
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,391522
Merge Sort,Cenário 4 - Vetor de strings aleatórias,1717
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1341
Shell Sort,Cenário 4 - Vetor de strings aleatórias,2731
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,376203
Merge Sort,Cenário 4 - Vetor de strings aleatórias,1460
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1220
Shell Sort,Cenário 4 - Vetor de strings aleatórias,2106
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,370551
Merge Sort,Cenário 4 - Vetor de strings aleatórias,1470
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1223
Shell Sort,Cenário 4 - Vetor de strings aleatórias,2717
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,380654
Merge Sort,Cenário 4 - Vetor de strings aleatórias,1574
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1293
Shell Sort,Cenário 4 - Vetor de strings aleatórias,2154
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,376680
Merge Sort,Cenário 4 - Vetor de strings aleatórias,1537
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1340
Shell Sort,Cenário 4 - Vetor de strings aleatórias,2257
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,370832
Merge Sort,Cenário 4 - Vetor de strings aleatórias,1494
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1253
Shell Sort,Cenário 4 - Vetor de strings aleatórias,2347
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,376140
Merge Sort,Cenário 4 - Vetor de strings aleatórias,1635
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1246
Shell Sort,Cenário 4 - Vetor de strings aleatórias,2260
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,392652
Merge Sort,Cenário 4 - Vetor de strings aleatórias,1526
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1290
Shell Sort,Cenário 4 - Vetor de strings aleatórias,2263
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,375375
Merge Sort,Cenário 4 - Vetor de strings aleatórias,1531
Quick Sort,Cenário 4 - Vetor de strings aleatórias,1302
Shell Sort,Cenário 4 - Vetor de strings aleatórias,2322
Bubble Sort,Cenário 4 - Vetor de strings aleatórias,384365
Merge Sort,Cenário 4 - Vetor de strings aleatórias,1466
